dataset,filename,category_id,category,overall_score,background_cleanliness,text_watermark_score,product_prominence,commercial_appeal,bg_class,needs_bg_replacement,reason
ecommerce118k,7d2ac8a858f582f65b8356dd33466893.jpg,0,women dresses,9.25,10,10,9,8,plain,False,"The background is a completely white, seamless studio backdrop."
ecommerce118k,9041518cc5dce311638ccb44ac669e87.jpg,0,women dresses,3.75,3,2,6,4,cluttered,True,The cluttered background and excessive text overlays significantly detract from the product and reduce purchase confidence.
ecommerce118k,d7f995fb0ff5e8a6336ff171d793f726.jpg,0,women dresses,5.75,10,1,8,4,plain,False,"The large, distracting watermark significantly reduces purchase confidence."
ecommerce118k,42ae7a38968b3c16b50ddd02685b5f0a.jpg,0,women dresses,6.5,8,3,9,6,plain,False,"The image is cluttered with seller-added text and colour swatches, reducing its professional appeal."
ecommerce118k,91dbeacf309c511b46723ff7f9bdf766.jpg,0,women dresses,6.75,4,10,8,6,lifestyle,True,The distracting urban background detracts from the clothing and reduces its commercial appeal.
ecommerce118k,512acfca2758af954985872fa326226d.jpg,0,women dresses,6.25,3,10,6,5,cluttered,True,The cluttered cafe background distracts from the clothing and reduces the product's prominence.
ecommerce118k,0dd011833502ee0df5c1fcd597c4daef.jpg,0,women dresses,8.0,6,10,9,7,lifestyle,False,The background features a blurred urban street scene with a window and building facade visible.
ecommerce118k,1a3d71a9a68f5679ebe416a1589973ea.jpg,0,women dresses,5.5,6,2,8,6,lifestyle,False,The large text overlay significantly detracts from the product's presentation.
ecommerce118k,4a8b1eee6e7a0411986cddec8bcd1dbd.jpg,0,women dresses,7.5,6,10,8,6,lifestyle,False,The product is displayed against a mirrored wall and a simple room setting with a wooden floor and lamps.
ecommerce118k,41d0503a65998e8e95cf2ae302d92a3e.jpg,0,women dresses,3.75,4,1,7,3,lifestyle,True,"The image is heavily cluttered with promotional text and a distracting background, significantly reducing its commercial appeal."
ecommerce118k,f5996f5357210592b40406695580fe02.jpg,0,women dresses,4.0,3,2,7,4,cluttered,True,"The image is heavily cluttered with distracting text overlays and a blurry, irrelevant background."
ecommerce118k,ed05c85d95c1d6eceb1f4a9e207e6d8f.jpg,0,women dresses,5.5,6,2,8,6,lifestyle,False,The large text overlay significantly detracts from the image's professional appearance.
